Internações SUS
AIHs Pagas por Munic Resid SP e Ano de Competência
CID10 3 dígitos: A08   Infecc intestinais virais outr e as NE
Fx Etária 1: Menor de 1 ano, 1-4 anos
Período:2008-2016
"Munic Resid SP";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"Total"
"351500 Embu das Artes";0;2;2;2;2;1;0;1;0;10
"351510 Embu-Guaçu";1;2;1;1;0;1;1;0;0;7
"351512 Emilianópolis";0;1;2;2;5;0;0;1;1;12
"351515 Engenheiro Coelho";0;0;0;1;0;0;0;0;0;1
"351518 Espírito Santo do Pinhal";13;1;1;0;1;0;0;0;0;16
"355730 Estiva Gerbi";0;0;0;2;0;0;0;0;0;2
"351535 Euclides da Cunha Paulista";0;3;0;0;5;0;1;0;0;9
"351550 Fernandópolis";25;15;14;6;36;7;23;1;0;127
"351570 Ferraz de Vasconcelos";1;0;1;0;1;1;1;1;0;6
"351610 Florínia";4;3;2;0;0;0;1;0;1;11
"351620 Franca";33;28;20;10;16;14;9;6;19;155
"351630 Francisco Morato";0;1;1;0;0;1;0;1;1;5
"351640 Franco da Rocha";0;1;0;2;0;0;0;0;0;3
"351680 Gastão Vidigal";0;0;0;1;0;0;0;0;0;1
"351690 General Salgado";0;1;0;0;0;0;1;0;0;2
"351720 Guaiçara";0;0;0;0;0;0;1;0;1;2
"351740 Guaíra";15;0;0;0;0;0;0;0;0;15
"351750 Guapiaçu";0;0;0;0;0;0;0;0;1;1
"351760 Guapiara";0;0;1;1;0;0;0;0;0;2
"351770 Guará";0;2;1;0;0;0;0;0;0;3
"351780 Guaraçaí";1;0;0;0;0;0;0;0;0;1
"351800 Guarani d'Oeste";0;0;0;0;2;0;0;0;0;2
"351820 Guararapes";1;0;0;0;0;0;0;0;0;1
"351830 Guararema";1;1;0;0;2;0;1;0;1;6
"351840 Guaratinguetá";35;27;26;17;10;7;13;4;0;139
"351850 Guareí";0;0;0;0;1;0;0;0;0;1
"351870 Guarujá";5;7;6;12;4;2;5;3;4;48
"351880 Guarulhos";85;121;102;85;78;93;103;104;82;853
"351907 Hortolândia";0;0;0;1;0;0;0;0;0;1
"351930 Ibaté";2;1;0;1;0;0;0;2;1;7
"351940 Ibirá";10;0;0;0;0;0;0;0;0;10
"351950 Ibirarema";1;0;0;0;0;0;1;0;0;2
"351960 Ibitinga";0;0;0;0;0;1;3;3;4;11
"351970 Ibiúna";0;1;0;1;0;0;2;1;0;5
"352000 Igaraçu do Tietê";0;0;1;1;2;1;0;0;0;5
"352020 Igaratá";0;0;0;0;1;0;0;0;0;1
"352030 Iguape";1;1;0;0;0;1;0;0;0;3
"352044 Ilha Solteira";0;4;0;4;1;0;0;0;0;9
"352040 Ilhabela";0;0;0;0;0;1;0;0;1;2
"352050 Indaiatuba";5;4;1;1;1;0;2;0;0;14
"352070 Indiaporã";0;2;1;1;0;0;0;0;0;4
"352100 Iperó";1;1;1;0;0;0;0;1;0;4
"352115 Ipiguá";0;0;0;0;1;0;0;0;0;1
"352120 Iporanga";0;0;0;0;0;0;0;1;0;1
"352130 Ipuã";3;0;2;2;0;0;1;1;0;9
"352140 Iracemápolis";3;1;0;0;0;1;0;0;1;6
"352150 Irapuã";1;0;0;0;0;0;0;0;0;1
"352160 Irapuru";1;0;0;0;0;0;0;0;0;1
"352170 Itaberá";0;0;0;0;0;0;0;0;1;1
"352180 Itaí";0;0;0;0;0;1;0;0;0;1
"352210 Itanhaém";2;0;0;0;1;2;0;0;0;5
"352220 Itapecerica da Serra";4;2;5;4;5;6;4;0;1;31
"352230 Itapetininga";4;1;3;3;4;3;1;2;1;22
"352250 Itapevi";0;0;3;1;1;0;0;2;16;23
"352260 Itapira";1;38;23;15;21;6;0;4;0;108
"352270 Itápolis";0;0;0;1;1;1;0;0;0;3
"352280 Itaporanga";0;0;0;0;0;1;1;0;0;2
"352290 Itapuí";0;1;1;0;0;0;0;0;0;2
"352310 Itaquaquecetuba";0;3;1;0;0;0;6;4;3;17
"352320 Itararé";6;0;0;0;0;0;0;0;0;6
"352330 Itariri";1;0;0;0;0;0;0;0;0;1
"352340 Itatiba";1;1;0;0;1;0;1;0;0;4
"352350 Itatinga";0;0;0;0;0;0;1;0;0;1
"352360 Itirapina";1;0;0;0;0;0;0;0;0;1
"352390 Itu";2;0;7;2;5;1;1;0;1;19
"352400 Itupeva";1;0;0;0;1;0;0;0;0;2
"352410 Ituverava";5;5;0;2;0;1;1;0;0;14
"352430 Jaboticabal";0;0;0;0;1;0;0;0;0;1
"352440 Jacareí";1;4;0;0;3;1;1;0;0;10
"352450 Jaci";1;1;4;1;1;0;0;0;0;8
"352470 Jaguariúna";2;0;0;1;0;1;1;0;0;5
"352480 Jales";1;0;0;0;2;0;0;0;0;3
"352500 Jandira";2;2;0;0;0;1;0;0;6;11
"352510 Jardinópolis";0;0;1;0;0;0;1;0;0;2
"352520 Jarinu";1;0;0;0;0;0;0;0;0;1
"352530 Jaú";8;39;14;0;0;1;0;0;0;62
"352540 Jeriquara";2;0;0;0;0;0;0;0;0;2
"352550 Joanópolis";0;0;1;0;0;0;0;0;0;1
"352570 José Bonifácio";0;2;32;14;0;1;10;12;18;89
"352590 Jundiaí";3;1;3;1;2;4;4;0;3;21
"352610 Juquiá";0;0;0;0;0;0;1;0;1;2
"352620 Juquitiba";0;0;0;0;0;0;0;0;1;1
"352630 Lagoinha";0;0;0;0;0;0;1;0;0;1
"352640 Laranjal Paulista";19;54;26;25;45;13;2;0;2;186
"352660 Lavrinhas";5;2;2;3;1;2;0;0;1;16
"352670 Leme";1;2;4;8;54;0;0;0;1;70
