Internações SUS 
AIHs Pagas por Munic Resid SP e Ano de Competência
CID10 3 dígitos: A08   Infecc intestinais virais outr e as NE
Fx Etária 1: Menor de 1 ano, 1-4 anos
Período:2000-2007
"Munic Resid SP";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"Total"
"352130 Ipuã";1;0;4;4;0;2;1;0;12
"352140 Iracemápolis";0;0;0;1;0;0;0;0;1
"352150 Irapuã";1;2;0;5;2;3;2;5;20
"352160 Irapuru";0;0;0;0;0;0;1;0;1
"352180 Itaí";1;2;6;0;1;0;0;0;10
"352190 Itajobi";9;13;4;0;0;0;0;0;26
"352210 Itanhaém";0;19;25;10;15;3;0;0;72
"352215 Itaóca";1;2;0;0;0;0;0;0;3
"352220 Itapecerica da Serra";0;0;1;15;4;3;1;2;26
"352230 Itapetininga";2;1;5;0;1;2;0;1;12
"352250 Itapevi";61;45;18;1;1;2;2;0;130
"352260 Itapira";95;79;58;75;55;47;35;26;470
"352270 Itápolis";47;49;19;6;7;17;29;5;179
"352280 Itaporanga";0;0;0;0;0;0;0;2;2
"352290 Itapuí";0;1;0;0;0;0;0;0;1
"352300 Itapura";3;7;5;5;2;1;7;3;33
"352310 Itaquaquecetuba";6;11;6;12;5;2;2;0;44
"352320 Itararé";0;0;0;0;0;0;0;5;5
"352330 Itariri";0;1;1;0;1;0;0;1;4
"352340 Itatiba";25;26;32;13;14;26;2;0;138
"352350 Itatinga";11;4;8;3;1;1;1;0;29
"352360 Itirapina";0;1;0;0;0;0;1;0;2
"352370 Itirapuã";0;0;0;0;1;0;0;0;1
"352390 Itu";0;0;8;2;0;0;0;0;10
"352410 Ituverava";52;105;43;75;35;34;22;10;376
"352420 Jaborandi";2;1;0;0;1;2;0;0;6
"352440 Jacareí";0;1;2;0;3;20;18;0;44
"352450 Jaci";2;1;0;2;0;0;3;0;8
"352470 Jaguariúna";4;0;1;0;0;0;6;3;14
"352500 Jandira";177;100;39;1;3;1;3;0;324
"352510 Jardinópolis";0;0;1;0;2;1;1;0;5
"352520 Jarinu";1;0;1;0;1;3;0;0;6
"352530 Jaú";7;4;0;1;2;0;2;11;27
"352540 Jeriquara";2;1;0;1;0;0;0;0;4
"352550 Joanópolis";3;6;0;0;0;0;0;0;9
"352560 João Ramalho";0;0;0;1;0;0;0;0;1
"352570 José Bonifácio";10;7;1;0;0;1;0;1;20
"352585 Jumirim";1;2;1;0;0;2;0;4;10
"352590 Jundiaí";5;5;0;0;0;0;2;0;12
"352600 Junqueirópolis";0;0;0;0;0;0;1;0;1
"352610 Juquiá";0;7;2;0;1;8;0;0;18
"352620 Juquitiba";0;0;0;0;0;0;0;1;1
"352640 Laranjal Paulista";35;57;20;32;34;51;30;35;294
"352650 Lavínia";0;1;0;1;3;1;3;0;9
"352660 Lavrinhas";9;1;2;5;3;5;4;1;30
"352670 Leme";1;0;2;1;34;50;50;29;167
"352680 Lençóis Paulista";77;1;0;0;0;0;0;1;79
"352690 Limeira";0;0;0;2;0;3;0;0;5
"352700 Lindóia";5;6;2;5;3;0;0;1;22
"352710 Lins";44;22;21;23;16;15;38;17;196
"352720 Lorena";288;246;216;85;3;2;1;7;848
"352725 Lourdes";0;1;1;0;0;0;0;0;2
"352730 Louveira";5;20;3;7;16;1;0;1;53
"352740 Lucélia";0;0;2;2;4;0;0;3;11
"352750 Lucianópolis";0;0;0;3;0;1;1;1;6
"352770 Luiziânia";0;0;0;0;0;0;4;1;5
"352790 Lutécia";5;13;4;3;0;0;1;0;26
"352800 Macatuba";1;0;0;0;0;0;0;0;1
"352820 Macedônia";3;2;0;0;0;0;0;1;6
"352840 Mairinque";15;9;0;0;0;1;0;4;29
"352850 Mairiporã";14;8;4;0;2;0;0;6;34
"352860 Manduri";2;0;1;9;14;7;6;2;41
"352870 Marabá Paulista";6;2;0;0;0;0;0;0;8
"352880 Maracaí";23;34;20;27;3;8;12;6;133
"352885 Marapoama";1;0;0;0;0;0;0;0;1
"352900 Marília";4;0;0;2;0;1;0;0;7
"352910 Marinópolis";0;0;0;0;1;1;2;1;5
"352920 Martinópolis";0;0;2;0;1;0;0;0;3
"352940 Mauá";0;0;1;2;1;0;4;9;17
"352960 Meridiano";9;3;1;4;2;0;1;0;20
"352970 Miguelópolis";38;17;8;0;0;3;5;19;90
"352980 Mineiros do Tietê";0;0;0;0;0;0;1;0;1
"353000 Mira Estrela";1;2;2;6;0;0;0;0;11
"352990 Miracatu";0;5;0;2;0;0;0;0;7
"353010 Mirandópolis";2;3;15;2;13;11;13;2;61
"353020 Mirante do Paranapanema";3;1;0;0;1;0;0;0;5
"353030 Mirassol";5;0;1;6;1;0;1;0;14
"353050 Mococa";68;67;0;0;0;0;0;0;135
"353060 Mogi das Cruzes";43;56;51;1;0;1;0;0;152
"353070 Mogi Guaçu";89;94;43;26;32;25;33;6;348
"353080 Moji Mirim";43;39;14;5;9;4;9;3;126
"353090 Mombuca";17;16;3;0;1;2;0;3;42
"353110 Mongaguá";23;27;10;9;10;13;5;13;110
"353120 Monte Alegre do Sul";0;1;0;0;0;0;0;0;1
"353130 Monte Alto";4;0;0;0;0;0;0;0;4
"353150 Monte Azul Paulista";0;0;6;38;26;20;0;0;90
"353160 Monte Castelo";16;7;10;7;15;5;12;5;77
"353180 Monte Mor";1;0;6;0;0;3;7;1;18
"353190 Morro Agudo";0;0;2;1;0;1;1;0;5
"353200 Morungaba";8;5;2;0;1;2;0;1;19
"353210 Murutinga do Sul";0;0;0;0;1;0;1;0;2
"353220 Narandiba";0;0;0;0;1;1;0;0;2
"353230 Natividade da Serra";0;2;0;0;0;0;1;0;3
"353240 Nazaré Paulista";6;3;8;1;1;0;1;0;20
"353290 Nova Europa";0;0;0;4;1;0;0;0;5
"353310 Nova Guataporanga";10;10;5;6;1;4;5;4;45
"353340 Nova Odessa";15;22;6;0;0;0;0;0;43
"353325 Novais";0;0;1;0;0;0;0;0;1
"353350 Novo Horizonte";58;85;0;1;0;0;0;0;144
"353360 Nuporanga";0;1;2;2;0;1;1;3;10
"353380 Óleo";0;0;0;1;0;0;0;0;1
"353390 Olímpia";135;137;89;60;88;113;103;19;744
"353430 Orlândia";1;1;1;0;1;1;1;0;6
"353440 Osasco";3;1;12;15;2;4;2;4;43
"353470 Ourinhos";0;1;2;5;2;1;0;0;11
"353480 Ouro Verde";0;0;0;1;0;0;0;0;1
"353500 Palestina";0;0;1;0;0;0;0;0;1
"353510 Palmares Paulista";15;11;2;0;0;0;0;0;28
"353520 Palmeira d'Oeste";1;0;13;18;15;9;19;12;87
"353530 Palmital";57;67;32;21;5;11;9;10;212
"353540 Panorama";45;17;5;3;5;4;0;3;82
"353550 Paraguaçu Paulista";79;78;33;59;53;37;27;16;382
"353570 Paraíso";3;0;1;0;0;0;0;0;4
"353580 Paranapanema";4;5;0;0;0;0;0;0;9
"353600 Parapuã";0;1;0;0;0;1;0;0;2
"353610 Pardinho";0;0;1;0;0;0;0;0;1
"353625 Parisi";0;0;0;0;0;5;0;0;5
"353640 Paulicéia";12;3;1;1;2;0;0;1;20
"353650 Paulínia";0;0;0;0;0;2;0;1;3
"353657 Paulistânia";0;0;0;1;1;0;0;0;2
"353660 Paulo de Faria";0;0;0;1;0;0;0;0;1
"353670 Pederneiras";0;0;0;0;0;0;1;0;1
"353690 Pedranópolis";1;0;0;2;0;0;0;1;4
"353700 Pedregulho";3;3;2;1;4;0;0;0;13
"353710 Pedreira";10;13;12;4;7;3;2;3;54
"353715 Pedrinhas Paulista";3;1;1;3;2;0;0;0;10
"353720 Pedro de Toledo";0;3;0;0;0;0;0;0;3
"353730 Penápolis";2;0;12;6;1;4;19;17;61
"353740 Pereira Barreto";82;65;69;32;86;43;38;21;436
"353750 Pereiras";17;3;0;1;1;1;0;0;23
"353760 Peruíbe";30;33;28;10;12;12;9;9;143
"353770 Piacatu";0;0;4;21;5;10;5;1;46
"353780 Piedade";61;59;40;46;41;54;30;13;344
"353790 Pilar do Sul";20;28;37;48;26;19;28;20;226
"353800 Pindamonhangaba";0;0;1;0;0;0;0;0;1
"353810 Pindorama";2;3;1;0;0;0;0;0;6
"353830 Piquerobi";5;0;0;0;1;0;0;0;6
"353850 Piquete";8;19;24;6;0;0;0;0;57
"353860 Piracaia";47;4;6;1;0;1;1;1;61
"353870 Piracicaba";21;21;37;8;4;1;3;3;98
"353880 Piraju";65;88;40;44;21;29;29;25;341
"353890 Pirajuí";30;55;27;10;8;2;23;7;162
"353900 Pirangi";41;16;8;4;10;4;12;12;107
"353910 Pirapora do Bom Jesus";0;0;1;0;1;0;0;1;3
"353920 Pirapozinho";1;0;1;2;1;0;0;0;5
"353930 Pirassununga";0;20;11;12;13;8;3;7;74
"353940 Piratininga";1;1;0;0;0;0;0;0;2
"353960 Planalto";2;3;0;0;0;0;0;0;5
"353970 Platina";6;4;3;6;3;5;5;5;37
"353980 Poá";1;20;2;0;0;0;1;1;25
"354010 Pongaí";1;0;0;0;8;2;0;1;12
"354025 Pontalinda";0;0;1;1;0;0;0;0;2
"354030 Pontes Gestal";0;0;0;0;0;0;1;0;1
"354040 Populina";1;1;0;1;0;0;0;1;4
"354050 Porangaba";2;1;1;0;1;0;0;1;6
"354060 Porto Feliz";78;78;53;55;77;73;90;36;540
"354070 Porto Ferreira";0;1;0;0;0;2;0;1;4
"354075 Potim";2;1;0;1;0;3;0;0;7
"354080 Potirendaba";0;0;2;0;17;2;13;10;44
"354085 Pracinha";0;0;0;1;0;0;0;0;1
"354090 Pradópolis";1;0;0;0;1;0;0;1;3
"354100 Praia Grande";22;38;5;15;17;8;6;1;112
"354105 Pratânia";5;11;3;0;0;0;0;0;19
"354110 Presidente Alves";5;0;3;2;0;0;6;3;19
"354120 Presidente Bernardes";16;24;44;18;14;14;7;0;137
"354130 Presidente Epitácio";1;0;7;0;1;1;0;0;10
"354140 Presidente Prudente";15;0;107;117;65;22;2;0;328
"354150 Presidente Venceslau";95;6;0;0;1;1;0;0;103
"354160 Promissão";1;1;5;0;0;3;1;1;12
